MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,,
50,42.914,6.3891E+17,6.3891E+17,,,,
51,43.625,6.3891E+17,6.3891E+17,,,,
52,44.275,6.3891E+17,6.3891E+17,,,,
53,44.837,6.3891E+17,6.3891E+17,,,,
54,45.541,6.3891E+17,6.3891E+17,,,,
55,46.23,6.3891E+17,6.3891E+17,,,,
56,46.933,6.3891E+17,6.3891E+17,,,,
57,47.506,6.3891E+17,6.3891E+17,,,,
58,48.126,6.3891E+17,6.3891E+17,,,,
59,48.816,6.3891E+17,6.3891E+17,,,,
60,49.586,6.3891E+17,6.3891E+17,,,,
61,50.209,6.3891E+17,6.3891E+17,,,,
62,50.941,6.3891E+17,6.3891E+17,,,,
63,51.59,6.3891E+17,6.3891E+17,,,,
64,52.206,6.3891E+17,6.3891E+17,,,,
65,52.89,6.3891E+17,6.3891E+17,,,,
66,53.463,6.3891E+17,6.3891E+17,,,,
67,54.152,6.3891E+17,6.3891E+17,,,,
68,54.83,6.3891E+17,6.3891E+17,,,,
69,55.548,6.3891E+17,6.3891E+17,,,,
70,56.207,6.3891E+17,6.3891E+17,,,,
71,56.885,6.3891E+17,6.3891E+17,,,,
72,57.55,6.3891E+17,6.3891E+17,,,,
73,58.16,6.3891E+17,6.3891E+17,,,,
74,59.111,6.3891E+17,6.3891E+17,,,,
75,62.699,6.3891E+17,6.3891E+17,,,,
76,65.178,6.3891E+17,6.3891E+17,,,,
77,65.95,6.3891E+17,6.3891E+17,,,,
78,66.651,6.3891E+17,6.3891E+17,,,,
79,67.81,6.3891E+17,6.3891E+17,,,,
80,68.575,6.3891E+17,6.3891E+17,,,,
81,69.362,6.3891E+17,6.3891E+17,,,,
82,70.017,6.3891E+17,6.3891E+17,,,,
83,70.719,6.3891E+17,6.3891E+17,,,,
84,71.453,6.3891E+17,6.3891E+17,,,,
85,72.089,6.3891E+17,6.3891E+17,,,,
86,72.856,6.3891E+17,6.3891E+17,,,,
87,73.548,6.3891E+17,6.3891E+17,,,,
88,74.359,6.3891E+17,6.3891E+17,,,,
89,75.116,6.3891E+17,6.3891E+17,,,,
90,75.879,6.3891E+17,6.3891E+17,,,,
91,76.581,6.3891E+17,6.3891E+17,,,,
92,77.321,6.3891E+17,6.3891E+17,,,,
93,78.063,6.3891E+17,6.3891E+17,,,,
94,78.826,6.3891E+17,6.3891E+17,,,,
95,79.658,6.3891E+17,6.3891E+17,,,,
96,80.324,6.3891E+17,6.3891E+17,,,,
97,81.109,6.3891E+17,6.3891E+17,,,,
98,81.861,6.3891E+17,6.3891E+17,,,,
99,82.63,6.3891E+17,6.3891E+17,,,,
100,83.319,6.3891E+17,6.3891E+17,,,,
101,83.978,6.3891E+17,6.3891E+17,,,,
102,84.792,6.3891E+17,6.3891E+17,,,,
103,85.529,6.3891E+17,6.3891E+17,,,,
104,86.196,6.3891E+17,6.3891E+17,,,,
105,86.87,6.3891E+17,6.3891E+17,,,,
106,87.556,6.3891E+17,6.3891E+17,,,,
107,88.265,6.3891E+17,6.3891E+17,,,,
108,89.085,6.3891E+17,6.3891E+17,,,,
109,93.506,6.3891E+17,6.3891E+17,,,,
110,96.244,6.3891E+17,6.3891E+17,,,,
111,97.158,6.3891E+17,6.3891E+17,,,,
112,98.105,6.3891E+17,6.3891E+17,,,,
113,98.952,6.3891E+17,6.3891E+17,,,,
114,99.783,6.3891E+17,6.3891E+17,,,,
115,100.595,6.3891E+17,6.3891E+17,,,,
116,101.326,6.3891E+17,6.3891E+17,,,,
117,102.093,6.3891E+17,6.3891E+17,,,,
118,102.894,6.3891E+17,6.3891E+17,,,,
119,103.622,6.3891E+17,6.3891E+17,,,,
120,104.432,6.3891E+17,6.3891E+17,,,,
121,105.216,6.3891E+17,6.3891E+17,,,,
122,105.981,6.3891E+17,6.3891E+17,,,,
123,106.663,6.3891E+17,6.3891E+17,,,,
124,107.341,6.3891E+17,6.3891E+17,,,,
125,108.26,6.3891E+17,6.3891E+17,,,,
126,109.248,6.3891E+17,6.3891E+17,,,,
127,110.105,6.3891E+17,6.3891E+17,,,,
128,110.894,6.3891E+17,6.3891E+17,,,,
